epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3524,2.89491,4.3632,2.58522,0.00298,0.15789,0.00232,0.00097,3.17953,4.8179,2.4591,6.668e-05,6.668e-05,6.668e-05
2,29.1573,3.13724,3.80349,2.63717,0.59441,0.10526,0.06149,0.02664,2.79944,4.42574,2.20351,0.00014805,0.00014805,0.00014805
3,52.7371,2.66118,3.56827,2.20476,0.65057,0.13158,0.08331,0.03289,2.69298,4.28108,2.1263,0.000227219,0.000227219,0.000227219
4,78.1442,2.79693,3.90423,2.44053,0.54147,0.09211,0.02687,0.01158,2.47164,4.23669,1.91717,0.000304187,0.000304187,0.000304187
5,104.464,2.30078,3.23435,2.03446,0.08483,0.15538,0.02136,0.00874,2.20345,3.9401,1.84089,0.000378956,0.000378956,0.000378956
6,129.927,2.35149,3.30849,2.11336,0.05756,0.10274,0.02502,0.00987,2.25933,3.7076,1.96961,0.000451524,0.000451524,0.000451524
7,155.518,2.10316,3.03958,1.9369,0.17049,0.20297,0.07353,0.02331,2.41655,3.47494,2.01442,0.000521891,0.000521891,0.000521891
8,181.457,2.21398,3.00286,1.97843,0.17049,0.20297,0.07353,0.02331,2.41655,3.47494,2.01442,0.000590058,0.000590058,0.000590058
9,208.357,2.07954,2.70369,1.92322,0.38466,0.17303,0.09461,0.03925,2.33249,3.64463,2.02994,0.000656025,0.000656025,0.000656025
10,236.586,2.18161,2.77146,1.95636,0.43014,0.18729,0.18615,0.06681,2.31745,2.82802,1.94213,0.000719791,0.000719791,0.000719791
11,266.242,1.98947,2.43012,1.77557,0.43014,0.18729,0.18615,0.06681,2.31745,2.82802,1.94213,0.000781356,0.000781356,0.000781356
12,307.003,1.95588,2.66438,1.82342,0.3835,0.22424,0.19031,0.06895,2.35856,3.51008,1.90412,0.000840721,0.000840721,0.000840721
13,348.197,1.98166,2.24355,1.7226,0.3835,0.22424,0.19031,0.06895,2.35856,3.51008,1.90412,0.000897886,0.000897886,0.000897886
14,390.805,2.07234,2.39344,1.83415,0.3835,0.22424,0.19031,0.06895,2.35856,3.51008,1.90412,0.000952851,0.000952851,0.000952851
15,435.534,1.92603,2.64904,1.73961,0.29648,0.20259,0.15796,0.06056,2.41801,3.2544,1.92413,0.00100561,0.00100561,0.00100561
16,482.785,1.84456,2.31609,1.63806,0.29648,0.20259,0.15796,0.06056,2.41801,3.2544,1.92413,0.00105618,0.00105618,0.00105618
17,530.069,1.88383,2.50431,1.70127,0.29648,0.20259,0.15796,0.06056,2.41801,3.2544,1.92413,0.00110454,0.00110454,0.00110454
18,571.504,1.85489,2.66873,1.692,0.14213,0.17973,0.12106,0.05383,2.41792,4.27602,1.97732,0.0011507,0.0011507,0.0011507
19,609.037,1.94184,2.52378,1.77274,0.14213,0.17973,0.12106,0.05383,2.41792,4.27602,1.97732,0.00119467,0.00119467,0.00119467
20,646.8,1.97049,2.6406,1.84088,0.14213,0.17973,0.12106,0.05383,2.41792,4.27602,1.97732,0.00123643,0.00123643,0.00123643
21,685.127,1.89814,2.80851,1.75968,0.15793,0.20353,0.11612,0.04297,2.44987,2.52283,1.97997,0.00122691,0.00122691,0.00122691
22,715.44,1.88688,2.62134,1.68738,0.15793,0.20353,0.11612,0.04297,2.44987,2.52283,1.97997,0.00120491,0.00120491,0.00120491
23,738.468,1.96372,2.66265,1.67561,0.15793,0.20353,0.11612,0.04297,2.44987,2.52283,1.97997,0.0011829,0.0011829,0.0011829
24,759.429,1.78124,2.24221,1.56507,0.25169,0.2612,0.15775,0.06458,2.5683,2.91486,2.00796,0.0011609,0.0011609,0.0011609
25,779.298,1.78152,1.96276,1.50716,0.25169,0.2612,0.15775,0.06458,2.5683,2.91486,2.00796,0.00113889,0.00113889,0.00113889
26,793.76,1.67411,2.00386,1.47922,0.25169,0.2612,0.15775,0.06458,2.5683,2.91486,2.00796,0.00111689,0.00111689,0.00111689
27,804.324,1.91651,2.13321,1.6488,0.32973,0.17962,0.1659,0.07513,2.63395,2.95388,1.9451,0.00109489,0.00109489,0.00109489
28,818.808,1.83001,2.08725,1.70036,0.32973,0.17962,0.1659,0.07513,2.63395,2.95388,1.9451,0.00107288,0.00107288,0.00107288
29,839.576,1.90571,2.31121,1.66652,0.32973,0.17962,0.1659,0.07513,2.63395,2.95388,1.9451,0.00105088,0.00105088,0.00105088
30,850.832,1.76344,2.13622,1.5667,0.56327,0.26905,0.30083,0.15357,2.45328,2.35843,1.87766,0.00102887,0.00102887,0.00102887
31,862.7,2.01082,2.30715,1.89287,0.56327,0.26905,0.30083,0.15357,2.45328,2.35843,1.87766,0.00100687,0.00100687,0.00100687
32,878.723,1.87688,2.23346,1.77864,0.56327,0.26905,0.30083,0.15357,2.45328,2.35843,1.87766,0.000984864,0.000984864,0.000984864
33,895.759,1.88222,2.0055,1.595,0.56327,0.26905,0.30083,0.15357,2.45328,2.35843,1.87766,0.000962859,0.000962859,0.000962859
34,906.265,1.8452,2.24057,1.7198,0.6872,0.20479,0.27632,0.12757,2.55593,2.40961,1.95782,0.000940855,0.000940855,0.000940855
35,920.791,2.00796,2.1018,1.77788,0.6872,0.20479,0.27632,0.12757,2.55593,2.40961,1.95782,0.00091885,0.00091885,0.00091885
36,939.39,1.84215,1.89254,1.60742,0.6872,0.20479,0.27632,0.12757,2.55593,2.40961,1.95782,0.000896846,0.000896846,0.000896846
37,950.83,1.93314,1.88385,1.65331,0.66933,0.23236,0.27866,0.13207,2.42547,2.1785,1.90813,0.000874842,0.000874842,0.000874842
